id,name,set,lang,condition,is_foil,format,quantity,price_clp,image_url,status,price_usd_ref
1,Aeronaut's Wings,bro,en,NM,no,Modern,1,500,Aeronaut's Wings - BRO - en - NM - 1.jpg,available,0.08
2,Aerovela néurok,mrd,es,NM,no,Modern,1,,Aerovela néurok - MRD - es - NM - 1 (2).jpg,available,
3,Aerovela néurok,mrd,es,NM,no,Modern,1,,Aerovela néurok - MRD - es - NM - 1 (3).jpg,available,
4,Aerovela néurok,mrd,es,NM,no,Modern,1,,Aerovela néurok - MRD - es - NM - 1 (4).jpg,available,
5,Aerovela néurok,mrd,es,NM,no,Modern,1,,Aerovela néurok - MRD - es - NM - 1.jpg,available,
6,Aether Spellbomb,jmp,en,NM,no,Modern,1,500,Aether Spellbomb - JMP - en - NM - 1.jpg,available,0.19
7,Alas de aeronauta,bro,es,NM,no,Modern,1,,Alas de aeronauta - BRO - es - NM - 1.jpg,available,
8,Alpha Myr,mrd,en,NM,no,Modern,1,500,Alpha Myr - MRD - en - NM - 1.jpg,available,0.18
9,Arco largo viridiano,afc,es,NM,no,Modern,1,,Arco largo viridiano - AFC - es - NM - 1 (2).jpg,available,
10,Arco largo viridiano,afc,es,NM,no,Modern,1,,Arco largo viridiano - AFC - es - NM - 1 (3).jpg,available,
11,Arco largo viridiano,afc,es,NM,no,Modern,1,,Arco largo viridiano - AFC - es - NM - 1 (4).jpg,available,
12,Arco largo viridiano,afc,es,NM,no,Modern,1,,Arco largo viridiano - AFC - es - NM - 1 (5).jpg,available,
13,Arco largo viridiano,afc,es,NM,no,Modern,1,,Arco largo viridiano - AFC - es - NM - 1 (6).jpg,available,
14,Arco largo viridiano,afc,es,NM,no,Modern,1,,Arco largo viridiano - AFC - es - NM - 1 (7).jpg,available,
15,Arco largo viridiano,afc,es,NM,no,Modern,1,,Arco largo viridiano - AFC - es - NM - 1.jpg,available,
16,Armadura de sierpescoria,mrd,es,NM,no,Modern,1,,Armadura de sierpescoria - MRD - es - NM - 1 (2).jpg,available,
