id,name,set,lang,condition,is_foil,format,quantity,price_clp,image_url,status,price_usd_ref,price_source
328,Disruptor Flute,MH3,en,NM,false,Modern,1,4266,Disruptor Flute - MH3 - en - NM - 1 (2).jpg,available,4.49,cardkingdom
83,Disruptor Flute,MH3,en,NM,false,Modern,1,4266,Disruptor Flute - MH3 - en - NM - 1.jpg,available,4.49,cardkingdom
84,Elixir of Immortality,C21,en,NM,false,Modern,1,1226,Elixir of Immortality - C21 - en - NM - 1.jpg,available,1.29,cardkingdom
85,Empyrial Plate,C16,en,NM,false,Modern,1,1890,Empyrial Plate - C16 - en - NM - 1.jpg,available,1.99,cardkingdom
329,Engineered Explosives,2XM,en,NM,false,Modern,1,4740,Engineered Explosives - 2XM - en - NM - 1 (2).jpg,available,4.99,cardkingdom
330,Engineered Explosives,2XM,en,NM,false,Modern,1,4740,Engineered Explosives - 2XM - en - NM - 1 (3).jpg,available,4.99,cardkingdom
88,Engineered Explosives,2XM,en,NM,false,Modern,1,4740,Engineered Explosives - 2XM - en - NM - 1.jpg,available,4.99,cardkingdom
89,Engineered Explosives,2XM,en,NM,true,Modern,1,7590,Engineered Explosives - 2XM - en - NM_FOIL - 1.jpg,available,7.99,cardkingdom
331,Escarabajo mecánico,MRD,es,NM,false,Modern,1,500,Escarabajo mecánico - MRD - es - NM - 1 (2).jpg,available,0.35,cardkingdom
332,Escarabajo mecánico,MRD,es,NM,false,Modern,1,500,Escarabajo mecánico - MRD - es - NM - 1 (3).jpg,available,0.35,cardkingdom
333,Escarabajo mecánico,MRD,es,NM,false,Modern,1,500,Escarabajo mecánico - MRD - es - NM - 1 (4).jpg,available,0.35,cardkingdom
334,Escarabajo mecánico,MRD,es,NM,false,Modern,1,500,Escarabajo mecánico - MRD - es - NM - 1 (5).jpg,available,0.35,cardkingdom
335,Escarabajo mecánico,MRD,es,NM,false,Modern,1,500,Escarabajo mecánico - MRD - es - NM - 1 (6).jpg,available,0.35,cardkingdom
336,Escarabajo mecánico,MRD,es,NM,false,Modern,1,500,Escarabajo mecánico - MRD - es - NM - 1 (7).jpg,available,0.35,cardkingdom
96,Escarabajo mecánico,MRD,es,NM,false,Modern,1,500,Escarabajo mecánico - MRD - es - NM - 1.jpg,available,0.35,cardkingdom
337,Esfera cromática,MRD,es,NM,false,Modern,1,500,Esfera cromática - MRD - es - NM - 1 (2).jpg,available,0.39,cardkingdom
338,Esfera cromática,MRD,es,NM,false,Modern,1,500,Esfera cromática - MRD - es - NM - 1 (3).jpg,available,0.39,cardkingdom
99,Esfera cromática,MRD,es,NM,false,Modern,1,500,Esfera cromática - MRD - es - NM - 1.jpg,available,0.39,cardkingdom
